,Comment,mean,cleaned,cleaned 2,final cleaned,Human Annotation
0,here is my dropbox referral link,0.10855152,1,0,0,0
1,thank you so helpful and so much more helpful than the video that dropbox provides,0.121285674,1,0,0,1
2,this is an excellent video thank you so much,0.144785714,1,0,0,1
3,i have two question that you might know the answer for if i use dropbox for a collection of large project file a online only file can i still open them with the associated gi software on my computer or would i need to download them locally each time the second is if you use dropbox a a back up but you also want to have a secondary and tertiary backup with physical hard drive can you download the online only file straight to the relevant back up location in the hard disc,0.162992424,1,0,0,0
4,excellent tutorial thank you,0.188636364,1,0,0,1
5,thank you that wa helpful,0.076666667,-1,0,-1,1
6,why you install this app and use your browser,0.106660053,1,0,0,0
7,the tutorial is on an apple computer and it doe not look the same a my dropbox on my pc,0.077632275,-1,0,-1,-1
8,i just watched your video on dropbox it is very helpful and you demonstrate your expertise on the subject but i found myself pausing or replaying about every 30 second it would be more effective if you slow down repeat key concept and phrase important idea in different word repetition is the engine of learning you are clearly a subject matter expert but being an expert in a subject is not the same a being the best possible teacher,0.456439394,1,1,1,0
9,hi there i am new to db love your tutorial i have a shared file atm how do i save this before the end user expires,0.109041005,1,0,0,1
10,thank you,0.11332672,1,0,0,1
11,great video you do an excellent job,0.552063492,1,1,1,1
12,so helpful thank you now to find your video on the mobile app,0.007886905,-1,0,-1,1
13,how to open a pdf on dropbox and edit it and save again in the ipad without downloading the pdf,0.129166667,1,0,0,0
14,awesome,0.125253968,1,0,0,1
15,i can not find drop box app tutorial anywhere on your channel you said you would,0.092311508,-1,0,-1,-1
16,thank you very much if i delete a file or folder on my mac will it get deleted in dropbox thank you,0.042301587,-1,0,-1,1
17,7 haziran 2013 dosya tesli m edi lmeli ydi postaneye gi tti m istasyona taahh tl atmak i i n bi r dropbox bi r de mektup yoluyla evraki sonra koyarim dedi m i zi n olmadi ini s yledi ler dosyayi bi ter bi tmez elden g t rd m b roya koydum,0.231666667,1,1,1,0
18,so helpful just got this a a christmas gift from my husband this video wa super helpful thank you very well made looking forward to learning more from you,0.188809524,1,0,0,1
19,this doe not help i will have to look elsewhere,0.043849206,-1,0,-1,1
20,great class explanation thanks,0.292857143,1,1,1,1
21,can you provide your link for the dropbox mobile app video i have difficulty sending a file a an attachment from my phone or tablet,0.240178571,1,1,1,0
22,when i open the dropbox app on my laptop no app will appear in the taskbar only win explorer is dropbox folder open up to the workspace and it naturally look very different from the view of dropbox website,0.16,1,0,0,-1
23,i do not see where the drop box folder to download the app where is it thank you,0.131547619,1,0,0,0
24,this wa really helpful,0.7625,1,1,1,1
25,heard you were racist not hiring straight white people just dropped dropbox,0.197123016,1,0,0,0
26,incredible that it is so confusing if anyone ever make file sharing easy and safe they will become a millionaire overnight,-0.001917989,-1,0,-1,1
27,so helpful thank you,0.041931217,-1,0,-1,1
28,could i have a file that is blocking dropbox i keep getting an error message,0.045,-1,0,-1,-1
29,it is amazing i gave him a leap of faith and he delivered a perfect service i got my 12 world phrase,0.135416667,1,0,0,1
30,new to using dropbox nice intro can you share of video thanks,0.195811411,1,0,0,1
31,i will be having a report next monday and i wa tasked to define what exactly is dropbox this video is really helpful i think i can make it better with this,0.20819964,1,1,1,1
32,when i send the link or share they can then use the arrow tab at the top and view all my folder and file how to let the shared folder only viewable,0.316830484,1,1,1,1
33,hi can i work on excel and word document from two different computer with dropbox so both computer can edit and update the same file,0.030562771,-1,0,-1,0
34,are you available online for online tutor,0.202777778,1,1,1,0
35,awesome thanks jt,0.140151515,1,0,0,1
36,thank you howfinity good job at explaining this,0.198045066,1,0,0,1
37,you talk too much,0.195593111,1,0,0,-1
38,this wa awesome i needed this,0.324196581,1,1,1,1
39,clear explanation without making any extended video,0.29,1,1,1,1
40,i hope the app is just a easy looking,0.127121212,1,0,0,0
41,thx teach,0.247515152,1,1,1,1
42,question how do i put existing file already on my dropbox account into a folder i have got a big bunch of video file mp4s and mov that i want to put into my created folder video can not seem to figure this out i must be missing something,0.241495726,1,1,1,0
43,absolutely brilliant tutorial ty,0.083105413,-1,0,-1,1
44,thank u soo much this wa simple and to the point now i am off to watch ur video on how to use on my mobile device,0.109401571,1,0,0,1
45,hello great video the additional question i need help with is file sharing sub folder i am trying to have a main folder and only let individual people have access to each sub folder for example time sheet is main folder then i have an individual folder for each employee but i do not want them each to have access to the others timesheet it seems if i give them access to the main folder there is no way to control individual access to each sub folder i hope my question make sense thank you in advance,0.52,1,1,1,1
46,please can you help me i have photo in my dropbox but i want to put them on a usb how do i do this and if i then delete file in dropbox will i lose them,0.088888889,-1,0,-1,0
47,what a fantastic lecture god bless you sir,0.223408443,1,1,1,1
48,wow too much information in one video it got so confusing because the cursor wa jumping around and you covered so many circumstance for usage,0.338560606,1,1,1,-1
49,do you provide one on one coaching,0.321994302,1,1,1,1
50,thank you so much this tutorial helped me a lot,0.165982906,1,0,0,1
51,my dropbox folder on my pc is getting very large will it still function if i move it to an external drive,0.304861111,1,1,1,
52,my experience of this company is they are underhanded and venal buyer beware,0.267083333,1,1,1,
53,dropbox is racist do not use,0.151666667,1,0,0,
54,it is very very useful,0.467916667,1,1,1,
55,thank you so soooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo much,0.354444444,1,1,1,
56,the one who i share filed need to be on a subscribed used or a free user,0.248333333,1,1,1,
57,video start at 3 30 skip all his talk,0.1,1,0,0,
58,cool,0.133333333,1,0,0,
