,comment
0,check out juuk is premium apple watch band use the promo code maxtech for 10percent off your order i got the qrono korza and ruby grey vitero juuk band
1,how i wish i had some money for this iphone 14 pro max i have used this techno phone for the last 1 5yrs and i wish i had a macbook am a ig fan of apple co of maxtech but can not afford i will study hard to get a programming job to to get enough money by the end of next year
2,very good review thank you for this
3,i just got an 8 and i am very happy with it the ultra is overkill for me
4,help me a lot thanks
5,john mayer sent me
6,series 7 an ultra strap case
7,the value calculation just changed for me new 41m series 8 discounted by dollar70 00 dollar329 00 purchase price on amazon series 8 fit my main requirement comfy form factor i can listen to music while running hiking and the oxygen sensor will be nice when hiking above the treeline
8,my grandma ran over my fitbit versa 2 today so looking for a replacement
9,he make the ultra actually seem worth it
10,u know whats funny to me is the fact that i saw and had an iwatch in 2009 and the actual brand one came out first a iwatch in april 2015 thats why i always say all the best new tech is given to wealthy or company people and later through the year to the public
11,800 dollar tho thats steep
12,i love the fact your sponsor is actually pertain to your subject matter thank you for that
13,i do not want a watch phone or anything tracking my ovulation i just want one for travel and workout i have the first apple watch which i have not used in years
14,there is literally nothing that justifies buying the other two model over the se 2 unless you have serious health problem
15,apple watch have pretty robust body but the battery life are very short compared to android smartphones so apple watch engineer ought to consider it and must improve lot longer battery life other wise apple watch sell might fall dramatically
16,just got the ultra love it
17,i recently purchased the ultra watch and just love it battery is amazing and screen size is nice to interact with apps definitely would recommend
18,i got the series 8 45mm for dollar329 at best buy a an open box but sealed originally bought the red it wa locked
19,you sound like you should be on an infomercial
20,i really want to believe this guy still talk like this in his real life like ordering starbucks in that half whisper intentionally slowed down pace
21,a if i have dollar800 dollar on me lol
22,can this watch send have reminder for appointment like from calendar and such
23,i believe the stainless steel model also have sapphire crystal display rather than glass not just the ultra
24,i want the ultra but 900 dollar i can not justify buying that lol
25,i still have the series 1 it is still working strong but a new watch will be refreshing
26,i am considering getting the se gen 2 it seems simple and just perfect for what i need i do not need all the extra stuff they have added tbh
27,so se series 8 thicc ultra
28,so wait which one do y all reccomend series 7 or 8
