,sequence,labels,scores,classified,Components List,label confidence score
0,i believe the stainless steel model also have sapphire crystal display rather than glass not just the ultra,"['Design Specifications', 'Software', 'Advertising']","[0.6533471941947937, 0.23801130056381226, 0.10864154249429703]",Design Specifications,['display'],0.6533471941947937
1,how is a se for kid because it doe not have always on display wa everyone kid when they bought the series 3,"['Design Specifications', 'Software', 'Advertising']","[0.4188939929008484, 0.34628868103027344, 0.23481738567352295]",Design Specifications,['display'],0.4188939929008484
2,what doe the screen brightness have to do with it looking toyish or not lol it will likely have an ambient light sensor which mean it will only reach 2000nits in the very brightest outdoor condition you do not want that thing blaring at 2000 nit very often not only will the pretty poor battery life be even poorer but the oled display will take a beating aswell brightness and oled is do not go well they degrade faster the brighter they go,"['Design Specifications', 'Software', 'Advertising']","[0.4241115152835846, 0.2980843484401703, 0.2778042256832123]",Design Specifications,"['display', 'ambient light sensor', 'battery']",0.4241115152835846
3,i been debating on getting the ultra because i like the orange display at night and screen size and the orange band but i want to know what health feature it ha i have never had an apple watch the last thing is i feel like it would be too much tech i have an iphone 11 pro my second iphone ever and an ipod any suggestion for getting it,"['Design Specifications', 'Software', 'Advertising']","[0.3897465765476227, 0.30660513043403625, 0.3036482632160187]",Design Specifications,['display'],0.3897465765476227
4,i decided to charge my ultra and run it till the battery wa dead i performed my normal use a few phone call texting daily work out and kept on normal power mode and always on display i got exactly 54 hour and 10 minute big improvement,"['Design Specifications', 'Software', 'Advertising']","[0.5624712705612183, 0.23570814728736877, 0.20182059705257416]",Design Specifications,"['display', 'battery']",0.5624712705612183
5,man doing any smartphone stuff on that display would be as and probably make your finger cramp up in about 30 second,"['Design Specifications', 'Software', 'Advertising']","[0.5323299765586853, 0.284576952457428, 0.1830930858850479]",Design Specifications,['display'],0.5323299765586853
6,just ordered my ultra because i currently have a series 7 small screen product red i originally got solely for working out to replace my series 3 big display but found myself hating it cause of the battery and the size wa not big enough to do anything with plus always thought the watched looked ugly regardless of the size and color and resembled a spy kid watch looking forward to the ultra and seeing if the battery life and big screen make it a good solution a far a the spy kid look i would not be wearing any apple watch to the met gala anytime soon put it that way,"['Design Specifications', 'Software', 'Advertising']","[0.44136112928390503, 0.34425100684165955, 0.21438784897327423]",Design Specifications,"['display', 'battery']",0.441361129283905
7,i think it look like one of the first smartwatches like a mini smartphone strapped to the wrist i am an extreme sport person skydive basejump wingsuit dive freedive rock climbing etc and to me the biggest issue is the form factor entanglement and battery life there no way 2 day is enough my go to watch is a garmin descent g1 solar it look like a gshock is super durable ha gps is a full blown dive computer without subscription and ha week of battery life with solar recharging to me the apple watch ultra is like a porsche suv it for people who want to feel a if without actually needing the functionality a hiker can use the normal apple watch a runner a well a real diver not just 1 2 scuba dive occasionally per year would not trust this watch in the mountain and snow the cold will drain the battery even faster i also do not like the display bright sunlight and polarized sunglass will make it hard to read garmin us a technology where the watch becomes better readable the more sunlight reflects off the screen,"['Design Specifications', 'Software', 'Advertising']","[0.4708501398563385, 0.3279631435871124, 0.20118673145771027]",Design Specifications,"['display', 'battery']",0.4708501398563385
8,their strategy for this replacing ultra watch dive computer reminds me of how they targeted expensive color correction monitor with the pro display,"['Design Specifications', 'Software', 'Advertising']","[0.5515113472938538, 0.2450147420167923, 0.20347385108470917]",Design Specifications,['display'],0.5515113472938538
9,i still think for hiking other outdoor activity and battery life the garmin fenix 7 7 7x is the way to go my fenix 7x with everything turned always on display except the 5 satellite my battery last 3 week if you turn every extra stuff off then the battery last 1 year if i have the 5 satellite turned on for hiking and other activity then the battery last 48 hour the garmin map and tracking are superior for hiking and ultra marathon most people do not know about the garmin fenix and epic watch you should check them out,"['Design Specifications', 'Software', 'Advertising']","[0.6364668607711792, 0.2201511263847351, 0.1433820277452469]",Design Specifications,"['display', 'battery']",0.6364668607711792
