,0
0,Jump to content
0,
0,Search
0,Create account
0,Log in
0,Create account
0,Log in
0,learn more
0,Contributions
0,Talk
0,Main page
0,Contents
0,Current events
0,Random article
0,About Wikipedia
0,Contact us
0,Donate
0,Help
0,Learn to edit
0,Community portal
0,Recent changes
0,Upload file
0,What links here
0,Related changes
0,Upload file
0,Special pages
0,Permanent link
0,Page information
0,Wikidata item
0,Download as PDF
0,Printable version
0,Wikimedia Commons
0,فارسی
0,Македонски
0,Nederlands
0,Türkçe
0,中文
0,Edit links
0,Category
0,Talk
0,Read
0,Edit
0,View history
0,Read
0,Edit
0,View history
0,Help
0,Wearable technology
0,Wearable computers
0,This list may not reflect recent changes
0,Wearable technology
0,AlterEgo
0,Amazfit
0,Apple Watch
0,Apple Watch SE
0,Apple Watch SE (2nd generation)
0,Apple Watch Series 1
0,Apple Watch Series 2
0,Apple Watch Series 3
0,Apple Watch Series 4
0,Apple Watch Series 5
0,Apple Watch Series 6
0,Apple Watch Series 7
0,Apple Watch Series 8
0,Apple Watch Ultra
0,Augmate
0,Bird (technology)
0,Body area network
0,BodyMedia
0,Catapult Sports
0,Tanzeem Choudhury
0,Contactless payment
0,COROS Wearables Inc
0,CuteCircuit
0,Electronic glasses
0,Emotiv
0,ESight
0,Google Glass
0,HoloLens 2
0,I Measure U
0,Jaybird (company)
0,Machina (company)
0,Magic Leap
0,Meta Quest Pro
0,Microsoft HoloLens
0,Misfit (company)
0,Muse (headband)
0,Neptune (company)
0,Oculus Rift
0,Oculus Rift CV1
0,Oculus Rift S
0,Pebble (watch)
0,Peripheral head-mounted display
0,PICO 4
0,Qardio
0,Quell (wearable)
0,Quest 2
0,Ray-Ban Stories
0,Samsung Galaxy Watch series
0,Samsung Gear
0,Smart ring
0,"Smart, connected products"
0,Smartwatch
0,Soundhawk
0,Spectacles (product)
0,Thync
0,Valencell
0,Valve Index
0,Varjo
0,Wearable computer
0,Wearsafe
0,Withings
0,https://en.wikipedia.org/w/index.php?title=Category:Wearable_devices&oldid=1070140939
0,Categories
0,Fashion accessories
0,Ambient intelligence
0,Internet of things
0,Human–computer interaction
0,Ubiquitous computing
0,Creative Commons Attribution-ShareAlike License 3.0
0,
0,Terms of Use
0,Privacy Policy
0,"Wikimedia Foundation, Inc."
0,Privacy policy
0,About Wikipedia
0,Disclaimers
0,Contact Wikipedia
0,Mobile view
0,Developers
0,Statistics
0,Cookie statement
0,
0,
