,Relevant Comments,Components List
0,i believe the stainless steel model also have sapphire crystal display rather than glass not just the ultra,['display']
1,is the always on display really that useful or useless how often do you use it,['display']
2,7 wa a minor upgrade to 6 8 an even minor to 7 same cpu since 6 not even shrinked to 5nm still 7nm so no better battery display a little bit smaller but who care will stick to my 6,"['display', 'battery']"
3,how is a se for kid because it doe not have always on display wa everyone kid when they bought the series 3,['display']
4,when you guy get the new iphones please compare the 14 pro and 14 pro max thermal and performance cause some leaked benchmark point to a 17percent faster cpu while other to a barley faster one could it just be the a15 in the normal 14 that get barley above last year s phone i really need to know if their is any difference between the pro and pro max other than the battery and display size before getting one thanks,"['display', 'battery']"
5,what doe the screen brightness have to do with it looking toyish or not lol it will likely have an ambient light sensor which mean it will only reach 2000nits in the very brightest outdoor condition you do not want that thing blaring at 2000 nit very often not only will the pretty poor battery life be even poorer but the oled display will take a beating aswell brightness and oled is do not go well they degrade faster the brighter they go,"['display', 'ambient light sensor', 'battery']"
6,i have the series 5 and i feel like the current se would be fine for me i do not use the always on display,['display']
7,6 33 from my first day of using apple watch i set the display to list view style,['display']
8,the sapphire display on the apple watch ultra is not pure sapphire meaning it still scratch where regular gorilla glass would apple should not be claiming that it ha a sapphire display because of this,['display']
9,bro had the stickman display explanation backwards,['display']
10,i been debating on getting the ultra because i like the orange display at night and screen size and the orange band but i want to know what health feature it ha i have never had an apple watch the last thing is i feel like it would be too much tech i have an iphone 11 pro my second iphone ever and an ipod any suggestion for getting it,['display']
11,i have to say something i have been using apple watch 5 since it release the display ha cracked and crown wa gone over this time one fixed from pocket one fixed by apple if i had an ultra these will not be happen i am just a normal everyday user it is only 100euros difference between steel version of series 8 and ultra so if the design is ok there is no excuse for using apple watch series 8,['display']
12,absolutely love this watch best apple watch to date overall regardless of how you want to use it in my opinion visit a store that ha one on display and put your hand on it may not be for everyone but this watch will surely be an enormous hit especially during the christmas season,['display']
13,i decided to charge my ultra and run it till the battery wa dead i performed my normal use a few phone call texting daily work out and kept on normal power mode and always on display i got exactly 54 hour and 10 minute big improvement,"['display', 'battery']"
14,man doing any smartphone stuff on that display would be as and probably make your finger cramp up in about 30 second,['display']
15,just ordered my ultra because i currently have a series 7 small screen product red i originally got solely for working out to replace my series 3 big display but found myself hating it cause of the battery and the size wa not big enough to do anything with plus always thought the watched looked ugly regardless of the size and color and resembled a spy kid watch looking forward to the ultra and seeing if the battery life and big screen make it a good solution a far a the spy kid look i would not be wearing any apple watch to the met gala anytime soon put it that way,"['display', 'battery']"
16,i think it look like one of the first smartwatches like a mini smartphone strapped to the wrist i am an extreme sport person skydive basejump wingsuit dive freedive rock climbing etc and to me the biggest issue is the form factor entanglement and battery life there no way 2 day is enough my go to watch is a garmin descent g1 solar it look like a gshock is super durable ha gps is a full blown dive computer without subscription and ha week of battery life with solar recharging to me the apple watch ultra is like a porsche suv it for people who want to feel a if without actually needing the functionality a hiker can use the normal apple watch a runner a well a real diver not just 1 2 scuba dive occasionally per year would not trust this watch in the mountain and snow the cold will drain the battery even faster i also do not like the display bright sunlight and polarized sunglass will make it hard to read garmin us a technology where the watch becomes better readable the more sunlight reflects off the screen,"['display', 'battery']"
17,their strategy for this replacing ultra watch dive computer reminds me of how they targeted expensive color correction monitor with the pro display,['display']
18,i still think for hiking other outdoor activity and battery life the garmin fenix 7 7 7x is the way to go my fenix 7x with everything turned always on display except the 5 satellite my battery last 3 week if you turn every extra stuff off then the battery last 1 year if i have the 5 satellite turned on for hiking and other activity then the battery last 48 hour the garmin map and tracking are superior for hiking and ultra marathon most people do not know about the garmin fenix and epic watch you should check them out,"['display', 'battery']"
19,4m view but yet you fail to mention the ultra doe not have edge to edge display what a step backwards who care about a 49mm screen if the display is only 47mm with an unusable black bezel around the display how irresponsible of apple to fail to mention this going right back they are not getting my dollar800 to downgrade,['display']
20,love the new design of this new apple watch ultra however i think apple should also get a smaller size a displayed on the apple watch 8 so people with smaller wrist can also enjoy the funky design too,['display']
21,pro actually ha more of an elegant feel not a rugged feel okay perhaps not the pro display but everything else,['display']
22,imagine solar panel under the display that would be a game changer,['display']
23,did you have display on through your test,['display']
24,actually iwatch ultra is a watch for people who want to display status on their wrist people who do those extreme type of sport are better off with a watch that is specifically made for their type of activity and that is what you gon na see in the end like 90percent of people who will wear this watch will propably use it to check their message,['display']
25,i am just a regular user who need a resistant case to my job in an ambulance and like the design or the bigger display and more brightness from the ultra and i am not in your draw,['display']
26,unske the dual frequency gps is super useful for me with photography and i will leave my phone at home when i go out it also ha very good triangulation with the mics so no wind noise come in i also can take this watch skiing and have a big enough display for my huge hand the night display help with night photography it is great for me to each their own,['display']
27,impressive feature and beautiful display but miss the mark big clunky and mediocre battery life this ultramarathoner will stick with coros,"['display', 'battery']"
28,apple ha really upped their game with this watch i am impressed however i am an avid garmin fenix 7x user and previous 6x owner i know the ultra should be compared to the epix 2 based on battery life and screen but i opted for the bigger and better for longevity i think apple is on the right track if their goal is to keep gain even the extreme adventurer interested i must say i am really digging the look of this ultra and would love to see where they go with it there are some small feature on the ultra i wish would be on the fenix but it go both way even though the fenix 7x is a little overkill for my us it still brings an app that is a capable on android a it is on io it is not an amoled screen but it still touch capable and the reflective display is super readable in sunlight and add to the overall 28 day average batter life fenix 7x is a watch i know i can also make last 5 year minimum with feature that will be a strong then a they are now,"['display', 'battery']"
29,the best fitness tracker doe not even have a display all apple needed to do wa make the 8 slightly thicker for the battery charged 600 rather than 800 and called it a pro,"['display', 'battery']"
30,with the regular apple watch 8 or se could i get 2 day if i turn off always on display and use it lightly,['display']
31,this watch ha an absolutely enormous pull for me a an astronomer it ha a red filter for the display which is absolutely crucial for astronomy to protect night vision my current apple watch if i accidentally tilt my wrist kill my night vision however the biggest reason is the waypoint marker often u astronomer need to travel far and to remote location to find darker sky my closest dark sky area is beautiful but ha absolutely zero signal of any degree and can be pretty easy to get lost something like the waypoint marker if accurate and reliable would massively increase my confidence and enjoyment traveling to remote site and further my enjoyment of astronomy,"['display', 'display']"
32,is the display flippable so that the crown can be on the left for ppl who prefer to where the watch on right wrist,['display']
33,i just think it crazy apple sell a 60hz display phone for 900 buck in 2022,['display']
34,ha nobody here heard of the garmin epix it blow the apple watch out of the water except for one thing it is not in the apple ecosystem but still having owned both i sticked with the epix because of the 2 week battery life with always on display very accurate metric the button all the available information in widget and not almost everybody already wear a garmin epix unlike a apple watch,"['display', 'battery']"
