,sequence,labels,scores,classified,Components List,label confidence score
0,i believe the stainless steel model also have sapphire crystal display rather than glass not just the ultra,"['Design Specifications', 'Software', 'Advertising']","[0.6533471941947937, 0.23801130056381226, 0.10864154249429703]",Design Specifications,['display'],0.6533471941947937
1,is the always on display really that useful or useless how often do you use it,"['Advertising', 'Software', 'Design Specifications']","[0.3670298755168915, 0.3281048834323883, 0.3048652410507202]",Advertising,['display'],0.3670298755168915
2,7 wa a minor upgrade to 6 8 an even minor to 7 same cpu since 6 not even shrinked to 5nm still 7nm so no better battery display a little bit smaller but who care will stick to my 6,"['Advertising', 'Software', 'Design Specifications']","[0.3359450399875641, 0.3335339426994324, 0.3305210471153259]",Advertising,"['display', 'battery']",0.3359450399875641
3,how is a se for kid because it doe not have always on display wa everyone kid when they bought the series 3,"['Design Specifications', 'Software', 'Advertising']","[0.4188939929008484, 0.34628868103027344, 0.23481738567352295]",Design Specifications,['display'],0.4188939929008484
4,when you guy get the new iphones please compare the 14 pro and 14 pro max thermal and performance cause some leaked benchmark point to a 17percent faster cpu while other to a barley faster one could it just be the a15 in the normal 14 that get barley above last year s phone i really need to know if their is any difference between the pro and pro max other than the battery and display size before getting one thanks,"['Advertising', 'Software', 'Design Specifications']","[0.41626521944999695, 0.30041688680648804, 0.283317893743515]",Advertising,"['display', 'battery']",0.41626521944999695
5,what doe the screen brightness have to do with it looking toyish or not lol it will likely have an ambient light sensor which mean it will only reach 2000nits in the very brightest outdoor condition you do not want that thing blaring at 2000 nit very often not only will the pretty poor battery life be even poorer but the oled display will take a beating aswell brightness and oled is do not go well they degrade faster the brighter they go,"['Design Specifications', 'Software', 'Advertising']","[0.4241115152835846, 0.2980843484401703, 0.2778042256832123]",Design Specifications,"['display', 'ambient light sensor', 'battery']",0.4241115152835846
6,i have the series 5 and i feel like the current se would be fine for me i do not use the always on display,"['Software', 'Design Specifications', 'Advertising']","[0.5503453612327576, 0.2811395525932312, 0.16851508617401123]",Software,['display'],0.5503453612327576
7,6 33 from my first day of using apple watch i set the display to list view style,"['Software', 'Design Specifications', 'Advertising']","[0.6314139366149902, 0.2650848627090454, 0.10350119322538376]",Software,['display'],0.6314139366149902
8,the sapphire display on the apple watch ultra is not pure sapphire meaning it still scratch where regular gorilla glass would apple should not be claiming that it ha a sapphire display because of this,"['Advertising', 'Software', 'Design Specifications']","[0.5131474733352661, 0.271746963262558, 0.21510560810565948]",Advertising,['display'],0.5131474733352661
9,bro had the stickman display explanation backwards,"['Software', 'Design Specifications', 'Advertising']","[0.45360034704208374, 0.3031892776489258, 0.24321040511131287]",Software,['display'],0.45360034704208374
10,i been debating on getting the ultra because i like the orange display at night and screen size and the orange band but i want to know what health feature it ha i have never had an apple watch the last thing is i feel like it would be too much tech i have an iphone 11 pro my second iphone ever and an ipod any suggestion for getting it,"['Design Specifications', 'Software', 'Advertising']","[0.3897465765476227, 0.30660513043403625, 0.3036482632160187]",Design Specifications,['display'],0.3897465765476227
11,i have to say something i have been using apple watch 5 since it release the display ha cracked and crown wa gone over this time one fixed from pocket one fixed by apple if i had an ultra these will not be happen i am just a normal everyday user it is only 100euros difference between steel version of series 8 and ultra so if the design is ok there is no excuse for using apple watch series 8,"['Software', 'Design Specifications', 'Advertising']","[0.4258359670639038, 0.3909587860107422, 0.18320521712303162]",Software,['display'],0.4258359670639038
12,absolutely love this watch best apple watch to date overall regardless of how you want to use it in my opinion visit a store that ha one on display and put your hand on it may not be for everyone but this watch will surely be an enormous hit especially during the christmas season,"['Advertising', 'Design Specifications', 'Software']","[0.4790858328342438, 0.34720492362976074, 0.17370925843715668]",Advertising,['display'],0.4790858328342438
