,comment,labels,scores,classified,Components List,label confidence score,Sentiment,Sentiment Confidence Score,Specification,Specification Confidence Score,Specific Component
0,i believe the stainless steel model also have sapphire crystal display rather than glass not just the ultra,"['Design Specifications', 'Software', 'Advertising']","[0.6533471941947937, 0.23801130056381226, 0.10864154249429703]",Design Specifications,['display'],0.6533471941947937,POSITIVE,0.9748997688293456,display_type,0.324064165353775,display
1,how is a se for kid because it doe not have always on display wa everyone kid when they bought the series 3,"['Design Specifications', 'Software', 'Advertising']","[0.4188939929008484, 0.34628868103027344, 0.23481738567352295]",Design Specifications,['display'],0.4188939929008484,NEGATIVE,0.9991090893745422,display_type,0.2409452646970749,display
2,what doe the screen brightness have to do with it looking toyish or not lol it will likely have an ambient light sensor which mean it will only reach 2000nits in the very brightest outdoor condition you do not want that thing blaring at 2000 nit very often not only will the pretty poor battery life be even poorer but the oled display will take a beating aswell brightness and oled is do not go well they degrade faster the brighter they go,"['Design Specifications', 'Software', 'Advertising']","[0.4241115152835846, 0.2980843484401703, 0.2778042256832123]",Design Specifications,"['display', 'ambient light sensor', 'battery']",0.4241115152835846,NEGATIVE,0.9993615746498108,display_type,0.18701978027820587,display
3,what doe the screen brightness have to do with it looking toyish or not lol it will likely have an ambient light sensor which mean it will only reach 2000nits in the very brightest outdoor condition you do not want that thing blaring at 2000 nit very often not only will the pretty poor battery life be even poorer but the oled display will take a beating aswell brightness and oled is do not go well they degrade faster the brighter they go,"['Design Specifications', 'Software', 'Advertising']","[0.4241115152835846, 0.2980843484401703, 0.2778042256832123]",Design Specifications,"['display', 'ambient light sensor', 'battery']",0.4241115152835846,NEGATIVE,0.9993615746498108,type,0.3539893925189972,ambient light sensor
4,what doe the screen brightness have to do with it looking toyish or not lol it will likely have an ambient light sensor which mean it will only reach 2000nits in the very brightest outdoor condition you do not want that thing blaring at 2000 nit very often not only will the pretty poor battery life be even poorer but the oled display will take a beating aswell brightness and oled is do not go well they degrade faster the brighter they go,"['Design Specifications', 'Software', 'Advertising']","[0.4241115152835846, 0.2980843484401703, 0.2778042256832123]",Design Specifications,"['display', 'ambient light sensor', 'battery']",0.4241115152835846,NEGATIVE,0.9993615746498108,Type,0.5690319538116455,battery
5,i been debating on getting the ultra because i like the orange display at night and screen size and the orange band but i want to know what health feature it ha i have never had an apple watch the last thing is i feel like it would be too much tech i have an iphone 11 pro my second iphone ever and an ipod any suggestion for getting it,"['Design Specifications', 'Software', 'Advertising']","[0.3897465765476227, 0.30660513043403625, 0.3036482632160187]",Design Specifications,['display'],0.3897465765476227,NEGATIVE,0.9974263310432434,touchscreen_type,0.23513901233673096,display
6,i decided to charge my ultra and run it till the battery wa dead i performed my normal use a few phone call texting daily work out and kept on normal power mode and always on display i got exactly 54 hour and 10 minute big improvement,"['Design Specifications', 'Software', 'Advertising']","[0.5624712705612183, 0.23570814728736877, 0.20182059705257416]",Design Specifications,"['display', 'battery']",0.5624712705612183,NEGATIVE,0.9668885469436646,always_on_display,0.412489116191864,display
7,i decided to charge my ultra and run it till the battery wa dead i performed my normal use a few phone call texting daily work out and kept on normal power mode and always on display i got exactly 54 hour and 10 minute big improvement,"['Design Specifications', 'Software', 'Advertising']","[0.5624712705612183, 0.23570814728736877, 0.20182059705257416]",Design Specifications,"['display', 'battery']",0.5624712705612183,NEGATIVE,0.9668885469436646,Type,0.5018225908279419,battery
8,man doing any smartphone stuff on that display would be as and probably make your finger cramp up in about 30 second,"['Design Specifications', 'Software', 'Advertising']","[0.5323299765586853, 0.284576952457428, 0.1830930858850479]",Design Specifications,['display'],0.5323299765586853,NEGATIVE,0.998026430606842,touchscreen_type,0.31143298745155334,display
9,just ordered my ultra because i currently have a series 7 small screen product red i originally got solely for working out to replace my series 3 big display but found myself hating it cause of the battery and the size wa not big enough to do anything with plus always thought the watched looked ugly regardless of the size and color and resembled a spy kid watch looking forward to the ultra and seeing if the battery life and big screen make it a good solution a far a the spy kid look i would not be wearing any apple watch to the met gala anytime soon put it that way,"['Design Specifications', 'Software', 'Advertising']","[0.44136112928390503, 0.34425100684165955, 0.21438784897327423]",Design Specifications,"['display', 'battery']",0.441361129283905,NEGATIVE,0.9995542168617249,display_type,0.2008068561553955,display
10,just ordered my ultra because i currently have a series 7 small screen product red i originally got solely for working out to replace my series 3 big display but found myself hating it cause of the battery and the size wa not big enough to do anything with plus always thought the watched looked ugly regardless of the size and color and resembled a spy kid watch looking forward to the ultra and seeing if the battery life and big screen make it a good solution a far a the spy kid look i would not be wearing any apple watch to the met gala anytime soon put it that way,"['Design Specifications', 'Software', 'Advertising']","[0.44136112928390503, 0.34425100684165955, 0.21438784897327423]",Design Specifications,"['display', 'battery']",0.441361129283905,NEGATIVE,0.9995542168617249,Type,0.3943498134613037,battery
11,i think it look like one of the first smartwatches like a mini smartphone strapped to the wrist i am an extreme sport person skydive basejump wingsuit dive freedive rock climbing etc and to me the biggest issue is the form factor entanglement and battery life there no way 2 day is enough my go to watch is a garmin descent g1 solar it look like a gshock is super durable ha gps is a full blown dive computer without subscription and ha week of battery life with solar recharging to me the apple watch ultra is like a porsche suv it for people who want to feel a if without actually needing the functionality a hiker can use the normal apple watch a runner a well a real diver not just 1 2 scuba dive occasionally per year would not trust this watch in the mountain and snow the cold will drain the battery even faster i also do not like the display bright sunlight and polarized sunglass will make it hard to read garmin us a technology where the watch becomes better readable the more sunlight reflects off the screen,"['Design Specifications', 'Software', 'Advertising']","[0.4708501398563385, 0.3279631435871124, 0.20118673145771027]",Design Specifications,"['display', 'battery']",0.4708501398563385,NEGATIVE,0.9936646223068236,variable_refresh_rate,0.22277803719043732,display
12,i think it look like one of the first smartwatches like a mini smartphone strapped to the wrist i am an extreme sport person skydive basejump wingsuit dive freedive rock climbing etc and to me the biggest issue is the form factor entanglement and battery life there no way 2 day is enough my go to watch is a garmin descent g1 solar it look like a gshock is super durable ha gps is a full blown dive computer without subscription and ha week of battery life with solar recharging to me the apple watch ultra is like a porsche suv it for people who want to feel a if without actually needing the functionality a hiker can use the normal apple watch a runner a well a real diver not just 1 2 scuba dive occasionally per year would not trust this watch in the mountain and snow the cold will drain the battery even faster i also do not like the display bright sunlight and polarized sunglass will make it hard to read garmin us a technology where the watch becomes better readable the more sunlight reflects off the screen,"['Design Specifications', 'Software', 'Advertising']","[0.4708501398563385, 0.3279631435871124, 0.20118673145771027]",Design Specifications,"['display', 'battery']",0.4708501398563385,NEGATIVE,0.9936646223068236,Type,0.38612332940101624,battery
13,their strategy for this replacing ultra watch dive computer reminds me of how they targeted expensive color correction monitor with the pro display,"['Design Specifications', 'Software', 'Advertising']","[0.5515113472938538, 0.2450147420167923, 0.20347385108470917]",Design Specifications,['display'],0.5515113472938538,NEGATIVE,0.9981926083564758,display_type,0.22030681371688843,display
14,i still think for hiking other outdoor activity and battery life the garmin fenix 7 7 7x is the way to go my fenix 7x with everything turned always on display except the 5 satellite my battery last 3 week if you turn every extra stuff off then the battery last 1 year if i have the 5 satellite turned on for hiking and other activity then the battery last 48 hour the garmin map and tracking are superior for hiking and ultra marathon most people do not know about the garmin fenix and epic watch you should check them out,"['Design Specifications', 'Software', 'Advertising']","[0.6364668607711792, 0.2201511263847351, 0.1433820277452469]",Design Specifications,"['display', 'battery']",0.6364668607711792,POSITIVE,0.9520318508148192,always_on_display,0.4038304090499878,display
15,i still think for hiking other outdoor activity and battery life the garmin fenix 7 7 7x is the way to go my fenix 7x with everything turned always on display except the 5 satellite my battery last 3 week if you turn every extra stuff off then the battery last 1 year if i have the 5 satellite turned on for hiking and other activity then the battery last 48 hour the garmin map and tracking are superior for hiking and ultra marathon most people do not know about the garmin fenix and epic watch you should check them out,"['Design Specifications', 'Software', 'Advertising']","[0.6364668607711792, 0.2201511263847351, 0.1433820277452469]",Design Specifications,"['display', 'battery']",0.6364668607711792,POSITIVE,0.9520318508148192,Type,0.47974836826324463,battery
16,4m view but yet you fail to mention the ultra doe not have edge to edge display what a step backwards who care about a 49mm screen if the display is only 47mm with an unusable black bezel around the display how irresponsible of apple to fail to mention this going right back they are not getting my dollar800 to downgrade,"['Design Specifications', 'Software', 'Advertising']","[0.415571004152298, 0.29815956950187683, 0.2862693965435028]",Design Specifications,['display'],0.415571004152298,NEGATIVE,0.997011661529541,display_type,0.2424454241991043,display
17,pro actually ha more of an elegant feel not a rugged feel okay perhaps not the pro display but everything else,"['Design Specifications', 'Software', 'Advertising']","[0.5134720802307129, 0.33304449915885925, 0.15348337590694427]",Design Specifications,['display'],0.5134720802307129,POSITIVE,0.5112369656562805,display_type,0.25401297211647034,display
18,imagine solar panel under the display that would be a game changer,"['Design Specifications', 'Advertising', 'Software']","[0.49288666248321533, 0.2830270230770111, 0.22408632934093475]",Design Specifications,['display'],0.4928866624832153,NEGATIVE,0.9899771213531494,display_protection,0.2005855292081833,display
19,did you have display on through your test,"['Design Specifications', 'Software', 'Advertising']","[0.34076717495918274, 0.3307737410068512, 0.3284590542316437]",Design Specifications,['display'],0.3407671749591827,NEGATIVE,0.993047058582306,display_type,0.24181737005710602,display
