,title,rating,comment,timestamp,Sentiment,Sentiment Confidence Score
0,Love this Watch!,5.0,"I never thought I would need an Apple Watch; however, after getting one I have been so impressed.  It not only keeps great time, but it helps monitor my sleep and keeps track of my steps and workouts. It has also helped me locate my phone several times since I always seem to misplace it!!  I did have to change the rubber band that came with it, but I love the new leather one.  A great purchase.","April 8, 2023",POSITIVE,0.9992357492446899
1,Watch works great!,5.0,The listing was spot on! there are a few minor scratches to the screen. They are minor enough where a finger nail does not grab the scratches. The rest of the watch seems to be perfect! I tested the Oxygen sensor and BPM compared to a  medical unit I have and its within 1-2% accuracy. Definitely recommend this seller for posting accurate details about an item.,"April 2, 2023",POSITIVE,0.9973669648170471
2,Wonderful!!,5.0,"I will admitted I was a little scriptable about purchasing the apple watch, but was glad that I take that chance once I received it. Since I’ve had it I haven’t had any problems with it and the battery life on the watch is wonderful. I would say take your chances on purchasing this item if it’s something you would really like.","April 2, 2023",POSITIVE,0.999711811542511
3,Great Renewed Apple Watch,5.0,I ordered this Watch in excellent like new condition and it is! Works perfectly. Arrived with 80% on the battery life. Charges to 100% with no issue and lasts me 1.5 days. Screen is flawless back is flawless. Great buy! So much cheaper then buying from Apple directly.,"April 2, 2023",POSITIVE,0.9996563196182251
4,Very good,4.0,"I was mostly concerned with the battery life. Thankfully, I received mine at 94%. I bought it in good condition. It has minor scratches. I must say it was a fantastic buy! I recommend to anyone. Everything seems fully functional so far, and I can easily use it on a daily basis. I highly recommend guys.","March 10, 2023",POSITIVE,0.9992161989212036
5,Good value quality v. price.,4.0,For now battery life is good but  some time must go on before verifying if remains like that for enough time.,"March 20, 2023",NEGATIVE,0.9947953820228577
6,Great buy,5.0,"Product looks flawless,battery is at 85% but still goes all day without having to charge.","April 5, 2023",POSITIVE,0.9817711114883423
7,Great watch,5.0,Love it great upgrade from a 3,"April 8, 2023",POSITIVE,0.9998749494552612
8,Great purchase,5.0,"Was used which is fine, for the price you can’t beat it. Everything works as expected, small scratch on side but not too noticeable. Would recommend this purchase. After pairing with phone watch works great no complaints.","March 18, 2023",POSITIVE,0.9929047226905823
9,Refurbished Well,5.0,I took a chance and purchased this refurbished Apple Watch Series 6. The watch to date has worked perfectly with no visible flaws.,"March 27, 2023",POSITIVE,0.9970212578773499
10,"Excelente estado, me sorprendió",5.0,No Comment,"April 11, 2023",NEGATIVE,0.9760733842849731
11,Perfect condition but not battery life,4.0,"I got this watch in a weird packaging & it was at 83% from their highest condition.Even though it’s a competitive price for a watch like this & I like the features the watch series 6 came in.The battery life came not in perfect.It’s a gamble with this company.Replacing it at Apple is about $79.For now I’m going to keep it since, it’s not defeated yet.","February 7, 2023",NEGATIVE,0.992900013923645
12,Great price,5.0,Got this as a gift for my daughter she absolutely loves it!,"March 23, 2023",POSITIVE,0.9998745918273926
13,Excellent value and excellent watch,5.0,No Comment,"March 30, 2023",NEGATIVE,0.9760733842849731
14,Mine looks perfect.,5.0,Mine operates and looks perfect.,"March 25, 2023",POSITIVE,0.9998587369918823
15,Product as described.,5.0,"Received product and shipping was quick. I’ve had it for a week, and thus far I truly love it!!!!!","March 11, 2023",POSITIVE,0.9998618364334106
16,Great Watch,5.0,Item was just as described. Purchased an excellent condition watch and it arrived quickly and has 89% battery life.,"March 10, 2023",POSITIVE,0.9420427680015564
17,Arrived in good condition - band too large - update phone,4.0,"I’ve only had the watch actually on and working for maybe 30 minutes now but I did receive it in great cosmetic condition. It came in a generic box with the watch, band, and charger (no box to plug into wall). There are no scratches and the band is new. The battery wasn’t charged and it did take 2.5 hours to get fully charged. I didn’t realize my phone didn’t have the latest iOS (16) so I did have to update my phone and that was annoying but not the sellers fault by any means. I am annoyed that I couldn’t choose the band size because the one that was sent is way too big and I’ll have to buy a new one as I didn’t see where I could contact the seller about this. I’ll update this review after I’ve had the watch for a while.","November 10, 2022",NEGATIVE,0.9971305727958679
18,Gave me trouble setting up,5.0,"It came as the expected size, but as I went to pair the watch to my phone it’s still under someone else’s iCloud and the only way I can set up my watch is if the original owner removes the watch from their account and I have no clue who it is so I’m gonna have to return it","February 16, 2023",NEGATIVE,0.9996985197067261
19,Quick shipping,5.0,Came quickly and as described! Works great,"March 14, 2023",POSITIVE,0.9998522996902466
20,The dreaded red snake,4.0,"Well, I’d like to say I’m happy but I’m not. Bought a new (refurbished) Apple Watch 6 and here’s how it arrived…with the dreaded red snake of death. And I can’t get it to charge. Now according to YT, this is a fairly common issue that is fixable with an easy home hack so let me give it a chance and try this home remedy and then I’ll update this rating accordingly. But for now…I’m not a very satisfied customer. When you spend a couple hundred $$$ on a new (refurbished) product (esp an Apple product) you shouldn’t have to jump through special hoops just to get it to work right.Update: Ok well, the hack worked and my watch is up and running so that’s a plus. But like I said before, when you drop a couple hundred bucks on a new product, you expect it to work right out of the box. If I hadn’t looked up that hack, I would’ve returned the watch and been a dissatisfied customer with a pretty negative rating.","September 17, 2022",NEGATIVE,0.9979602098464966
