,comment,labels,scores,classified,Components List,label confidence score,Sentiment,Sentiment Confidence Score
0,i believe the stainless steel model also have sapphire crystal display rather than glass not just the ultra,"['Design Specifications', 'Software', 'Advertising']","[0.6533471941947937, 0.23801130056381226, 0.10864154249429703]",Design Specifications,['display'],0.6533471941947937,POSITIVE,0.9748997688293457
1,how is a se for kid because it doe not have always on display wa everyone kid when they bought the series 3,"['Design Specifications', 'Software', 'Advertising']","[0.4188939929008484, 0.34628868103027344, 0.23481738567352295]",Design Specifications,['display'],0.4188939929008484,NEGATIVE,0.9991090893745422
2,what doe the screen brightness have to do with it looking toyish or not lol it will likely have an ambient light sensor which mean it will only reach 2000nits in the very brightest outdoor condition you do not want that thing blaring at 2000 nit very often not only will the pretty poor battery life be even poorer but the oled display will take a beating aswell brightness and oled is do not go well they degrade faster the brighter they go,"['Design Specifications', 'Software', 'Advertising']","[0.4241115152835846, 0.2980843484401703, 0.2778042256832123]",Design Specifications,"['display', 'ambient light sensor', 'battery']",0.4241115152835846,NEGATIVE,0.9993615746498108
3,i been debating on getting the ultra because i like the orange display at night and screen size and the orange band but i want to know what health feature it ha i have never had an apple watch the last thing is i feel like it would be too much tech i have an iphone 11 pro my second iphone ever and an ipod any suggestion for getting it,"['Design Specifications', 'Software', 'Advertising']","[0.3897465765476227, 0.30660513043403625, 0.3036482632160187]",Design Specifications,['display'],0.3897465765476227,NEGATIVE,0.9974263310432434
4,i decided to charge my ultra and run it till the battery wa dead i performed my normal use a few phone call texting daily work out and kept on normal power mode and always on display i got exactly 54 hour and 10 minute big improvement,"['Design Specifications', 'Software', 'Advertising']","[0.5624712705612183, 0.23570814728736877, 0.20182059705257416]",Design Specifications,"['display', 'battery']",0.5624712705612183,NEGATIVE,0.9668885469436646
5,man doing any smartphone stuff on that display would be as and probably make your finger cramp up in about 30 second,"['Design Specifications', 'Software', 'Advertising']","[0.5323299765586853, 0.284576952457428, 0.1830930858850479]",Design Specifications,['display'],0.5323299765586853,NEGATIVE,0.998026430606842
6,just ordered my ultra because i currently have a series 7 small screen product red i originally got solely for working out to replace my series 3 big display but found myself hating it cause of the battery and the size wa not big enough to do anything with plus always thought the watched looked ugly regardless of the size and color and resembled a spy kid watch looking forward to the ultra and seeing if the battery life and big screen make it a good solution a far a the spy kid look i would not be wearing any apple watch to the met gala anytime soon put it that way,"['Design Specifications', 'Software', 'Advertising']","[0.44136112928390503, 0.34425100684165955, 0.21438784897327423]",Design Specifications,"['display', 'battery']",0.441361129283905,NEGATIVE,0.9995542168617249
7,i think it look like one of the first smartwatches like a mini smartphone strapped to the wrist i am an extreme sport person skydive basejump wingsuit dive freedive rock climbing etc and to me the biggest issue is the form factor entanglement and battery life there no way 2 day is enough my go to watch is a garmin descent g1 solar it look like a gshock is super durable ha gps is a full blown dive computer without subscription and ha week of battery life with solar recharging to me the apple watch ultra is like a porsche suv it for people who want to feel a if without actually needing the functionality a hiker can use the normal apple watch a runner a well a real diver not just 1 2 scuba dive occasionally per year would not trust this watch in the mountain and snow the cold will drain the battery even faster i also do not like the display bright sunlight and polarized sunglass will make it hard to read garmin us a technology where the watch becomes better readable the more sunlight reflects off the screen,"['Design Specifications', 'Software', 'Advertising']","[0.4708501398563385, 0.3279631435871124, 0.20118673145771027]",Design Specifications,"['display', 'battery']",0.4708501398563385,NEGATIVE,0.9936646223068237
8,their strategy for this replacing ultra watch dive computer reminds me of how they targeted expensive color correction monitor with the pro display,"['Design Specifications', 'Software', 'Advertising']","[0.5515113472938538, 0.2450147420167923, 0.20347385108470917]",Design Specifications,['display'],0.5515113472938538,NEGATIVE,0.9981926083564758
9,i still think for hiking other outdoor activity and battery life the garmin fenix 7 7 7x is the way to go my fenix 7x with everything turned always on display except the 5 satellite my battery last 3 week if you turn every extra stuff off then the battery last 1 year if i have the 5 satellite turned on for hiking and other activity then the battery last 48 hour the garmin map and tracking are superior for hiking and ultra marathon most people do not know about the garmin fenix and epic watch you should check them out,"['Design Specifications', 'Software', 'Advertising']","[0.6364668607711792, 0.2201511263847351, 0.1433820277452469]",Design Specifications,"['display', 'battery']",0.6364668607711792,POSITIVE,0.9520318508148193
10,4m view but yet you fail to mention the ultra doe not have edge to edge display what a step backwards who care about a 49mm screen if the display is only 47mm with an unusable black bezel around the display how irresponsible of apple to fail to mention this going right back they are not getting my dollar800 to downgrade,"['Design Specifications', 'Software', 'Advertising']","[0.415571004152298, 0.29815956950187683, 0.2862693965435028]",Design Specifications,['display'],0.415571004152298,NEGATIVE,0.997011661529541
11,pro actually ha more of an elegant feel not a rugged feel okay perhaps not the pro display but everything else,"['Design Specifications', 'Software', 'Advertising']","[0.5134720802307129, 0.33304449915885925, 0.15348337590694427]",Design Specifications,['display'],0.5134720802307129,POSITIVE,0.5112369656562805
12,imagine solar panel under the display that would be a game changer,"['Design Specifications', 'Advertising', 'Software']","[0.49288666248321533, 0.2830270230770111, 0.22408632934093475]",Design Specifications,['display'],0.4928866624832153,NEGATIVE,0.9899771213531494
13,did you have display on through your test,"['Design Specifications', 'Software', 'Advertising']","[0.34076717495918274, 0.3307737410068512, 0.3284590542316437]",Design Specifications,['display'],0.3407671749591827,NEGATIVE,0.9930470585823059
14,actually iwatch ultra is a watch for people who want to display status on their wrist people who do those extreme type of sport are better off with a watch that is specifically made for their type of activity and that is what you gon na see in the end like 90percent of people who will wear this watch will propably use it to check their message,"['Design Specifications', 'Software', 'Advertising']","[0.601432204246521, 0.2121214121580124, 0.18644630908966064]",Design Specifications,['display'],0.601432204246521,NEGATIVE,0.9907620549201965
15,i am just a regular user who need a resistant case to my job in an ambulance and like the design or the bigger display and more brightness from the ultra and i am not in your draw,"['Design Specifications', 'Software', 'Advertising']","[0.7877784967422485, 0.12837213277816772, 0.08384932577610016]",Design Specifications,['display'],0.7877784967422485,NEGATIVE,0.9979615211486816
16,unske the dual frequency gps is super useful for me with photography and i will leave my phone at home when i go out it also ha very good triangulation with the mics so no wind noise come in i also can take this watch skiing and have a big enough display for my huge hand the night display help with night photography it is great for me to each their own,"['Design Specifications', 'Software', 'Advertising']","[0.6764242649078369, 0.18673324584960938, 0.13684247434139252]",Design Specifications,['display'],0.6764242649078369,POSITIVE,0.996122419834137
17,impressive feature and beautiful display but miss the mark big clunky and mediocre battery life this ultramarathoner will stick with coros,"['Design Specifications', 'Advertising', 'Software']","[0.7537488341331482, 0.12839442491531372, 0.11785674095153809]",Design Specifications,"['display', 'battery']",0.7537488341331482,NEGATIVE,0.9954180717468262
18,the best fitness tracker doe not even have a display all apple needed to do wa make the 8 slightly thicker for the battery charged 600 rather than 800 and called it a pro,"['Design Specifications', 'Advertising', 'Software']","[0.4372899532318115, 0.39821404218673706, 0.16449597477912903]",Design Specifications,"['display', 'battery']",0.4372899532318115,POSITIVE,0.991680920124054
