,label,score,comment
0,POSITIVE,0.946153461933136,but the battery apple always behind
1,NEGATIVE,0.9824145436286926,just like the battery life of the garmin device now waiting for the forerunner 965 and i like all the data and have all the planned workout synced to either my garmin watch or garmin edge on the bike
2,POSITIVE,0.9709706902503967,even though i know the garmin ha the edge sport and battery wise the fact i can use my apple ultra without my phone to open my garage door act a a key for my car send receive message from my wife etc mean i am on the apple to be able to go for a run without the phone but still have the smart stuff when i need it is worth every bit for me
3,POSITIVE,0.9940750598907471,while the fitness feature on the garmin are awesome like you said with body battery yes i know i am tired with that said it is nice to be validated that i am not just being a baby the biggest reason i bought a fenix 7x is because it is feel bullet proof i am not worried about it bumping into thing not worried about water hurting it nothing i have played in snow climbed in rock ran in light rain hiked in heavy rain it just doe not matter that and physical button wa a huge point for me
4,NEGATIVE,0.9963396787643433,a a long distance i e at pct etc hiker who also run and doe strength training i prefer the garmin this mostly boil down to fitness tracking durability battery life when i hike always have my phone so there is zero reason to have an apple watch i have the enduro 2 and the battery life is top notch there are leg of the hike that might be 4 5 day between resupply town and not having to charge every day is key however a an iphone user i really would like to use an apple watch if it could last 4 5 day of all day tracking between charge
5,NEGATIVE,0.867911696434021,mark lewis there is not too much of a learning curve to their eco system then again i have the pace 2 their dollar200 entry level model even though i do not know how entry level it is if eliud kipchoge is pro model is also a pace 2 pro snappy gps tracking probably the best battery life of any running watch no frill functionality every sensor bell and whistle i could ever need compass barometer thermometer and can even gauge my running watt by itself con not the most customizable activity display sure but not much else though it doe not need to be on the pace 2 anyway no nav just tracking the more expensive model do nav i believe though i would not think killian jornet would have a pro model with them if they did not have a nav ready model i do not think it is controversial to say that the coros pace 2 is the best sub dollar200 running watch on the market
6,NEGATIVE,0.9872764945030212,the perfect sport watch would be one that give you very basic data with a massive fuck off battery life basically the 920 with a new battery and new gps no toss given about anything else people should never listen to a watch over their body
7,NEGATIVE,0.9996476173400879,i would live with an ugly unsporty apple watch if it battery would last the length of an all day bike ride or all day run
8,NEGATIVE,0.9993904829025269,i used to have apple watch but after half a year i sold it reason one day battery is horrible worst thing wa when i went for a hike full battery got back 5 hour later and aw wa dead after that i bought fenix 6 pro and i am happy a i could be probably would upgrade it to regular size or even large version but that ha a year or so to wait
9,NEGATIVE,0.9975480437278748,the same here mate i had a bad cold and my body battery wa at 5 and stress raised
10,NEGATIVE,0.9979780316352844,same switched from aw to garmin once i went for a long trip forgot the cable so had to turn off phone connection to save battery and realized how great is it now i only connect them to transfer my run
11,NEGATIVE,0.993762195110321,jon kc no i do mean hearing it work a a mini bluetooth speaker for my phone
12,NEGATIVE,0.9993867874145508,jon kc yeah many of these cheap watch can be used a speaker for your phone i had one and the speaket could be used to take call and watch video
13,NEGATIVE,0.9977422952651978,why do not they just make a nice looking watch that dose notification it all most people use anyway loose all the fitness stuff most people do not want there watch telling them they do not go to the gym and them that do know what they have done loose the sleep tracking thats when it on charge loose the apps 90percent are pointless anyway make it look like a watch with the added bonus you can put them cotton strap that loop through the pin hey you might get decent battery life aswell somtimes le is more and simple is the beutifull
14,NEGATIVE,0.9787848591804504,hk9 pro aron that is the one to compare amoled screen same menu same strap perfect working screen it is just 40 dollar
15,POSITIVE,0.9997997879981995,i recently purchased the ultra watch and just love it battery is amazing and screen size is nice to interact with apps definitely would recommend
