,Video ID,Title,Link,No. of comments,Top word,Top Freq,Top comments,TextBlob (mean),TextBlob (stdev)
0,Video1,Are Smart Wearables Falling Short Of Expectations? | What’s The Big Deal? | Full Episode,https://www.youtube.com/watch?v=qkNz5_Lh3mA,10,form,3,2,-0.02,0.54
1,Video1,Are Smart Wearables Falling Short Of Expectations? | What’s The Big Deal? | Full Episode,https://www.youtube.com/watch?v=qkNz5_Lh3mA,10,trainer,2,1,0.36,NA
2,Video1,Are Smart Wearables Falling Short Of Expectations? | What’s The Big Deal? | Full Episode,https://www.youtube.com/watch?v=qkNz5_Lh3mA,10,check,2,1,0.36,NA
3,Video1,Are Smart Wearables Falling Short Of Expectations? | What’s The Big Deal? | Full Episode,https://www.youtube.com/watch?v=qkNz5_Lh3mA,10,need,2,2,0.18,0.25
4,Video1,Are Smart Wearables Falling Short Of Expectations? | What’s The Big Deal? | Full Episode,https://www.youtube.com/watch?v=qkNz5_Lh3mA,10,phone,2,1,0.36,NA
5,Video1,Are Smart Wearables Falling Short Of Expectations? | What’s The Big Deal? | Full Episode,https://www.youtube.com/watch?v=qkNz5_Lh3mA,10,amp,2,1,0.36,NA
6,Video1,Are Smart Wearables Falling Short Of Expectations? | What’s The Big Deal? | Full Episode,https://www.youtube.com/watch?v=qkNz5_Lh3mA,10,press,2,1,0.0,NA
7,Video1,Are Smart Wearables Falling Short Of Expectations? | What’s The Big Deal? | Full Episode,https://www.youtube.com/watch?v=qkNz5_Lh3mA,10,trainer probably,1,1,0.36,NA
8,Video1,Are Smart Wearables Falling Short Of Expectations? | What’s The Big Deal? | Full Episode,https://www.youtube.com/watch?v=qkNz5_Lh3mA,10,trainer probably using,1,1,0.36,NA
9,Video1,Are Smart Wearables Falling Short Of Expectations? | What’s The Big Deal? | Full Episode,https://www.youtube.com/watch?v=qkNz5_Lh3mA,10,trainer probably using eye,1,1,0.36,NA
10,Video1,Are Smart Wearables Falling Short Of Expectations? | What’s The Big Deal? | Full Episode,https://www.youtube.com/watch?v=qkNz5_Lh3mA,10,trainer probably using eye ball,1,1,0.36,NA
11,Video1,Are Smart Wearables Falling Short Of Expectations? | What’s The Big Deal? | Full Episode,https://www.youtube.com/watch?v=qkNz5_Lh3mA,10,probably,1,1,0.36,NA
12,Video1,Are Smart Wearables Falling Short Of Expectations? | What’s The Big Deal? | Full Episode,https://www.youtube.com/watch?v=qkNz5_Lh3mA,10,probably using,1,1,0.36,NA
13,Video1,Are Smart Wearables Falling Short Of Expectations? | What’s The Big Deal? | Full Episode,https://www.youtube.com/watch?v=qkNz5_Lh3mA,10,probably using eye,1,1,0.36,NA
14,Video1,Are Smart Wearables Falling Short Of Expectations? | What’s The Big Deal? | Full Episode,https://www.youtube.com/watch?v=qkNz5_Lh3mA,10,probably using eye ball,1,1,0.36,NA
15,Video1,Are Smart Wearables Falling Short Of Expectations? | What’s The Big Deal? | Full Episode,https://www.youtube.com/watch?v=qkNz5_Lh3mA,10,probably using eye ball technique,1,1,0.36,NA
16,Video1,Are Smart Wearables Falling Short Of Expectations? | What’s The Big Deal? | Full Episode,https://www.youtube.com/watch?v=qkNz5_Lh3mA,10,using,1,1,0.36,NA
17,Video1,Are Smart Wearables Falling Short Of Expectations? | What’s The Big Deal? | Full Episode,https://www.youtube.com/watch?v=qkNz5_Lh3mA,10,using eye,1,1,0.36,NA
18,Video1,Are Smart Wearables Falling Short Of Expectations? | What’s The Big Deal? | Full Episode,https://www.youtube.com/watch?v=qkNz5_Lh3mA,10,using eye ball,1,1,0.36,NA
19,Video1,Are Smart Wearables Falling Short Of Expectations? | What’s The Big Deal? | Full Episode,https://www.youtube.com/watch?v=qkNz5_Lh3mA,10,using eye ball technique,1,1,0.36,NA
20,Video1,Are Smart Wearables Falling Short Of Expectations? | What’s The Big Deal? | Full Episode,https://www.youtube.com/watch?v=qkNz5_Lh3mA,10,using eye ball technique check,1,1,0.36,NA
21,Video1,Are Smart Wearables Falling Short Of Expectations? | What’s The Big Deal? | Full Episode,https://www.youtube.com/watch?v=qkNz5_Lh3mA,10,eye,1,1,0.36,NA
22,Video1,Are Smart Wearables Falling Short Of Expectations? | What’s The Big Deal? | Full Episode,https://www.youtube.com/watch?v=qkNz5_Lh3mA,10,eye ball,1,1,0.36,NA
23,Video1,Are Smart Wearables Falling Short Of Expectations? | What’s The Big Deal? | Full Episode,https://www.youtube.com/watch?v=qkNz5_Lh3mA,10,eye ball technique,1,1,0.36,NA
24,Video1,Are Smart Wearables Falling Short Of Expectations? | What’s The Big Deal? | Full Episode,https://www.youtube.com/watch?v=qkNz5_Lh3mA,10,eye ball technique check,1,1,0.36,NA
25,Video1,Are Smart Wearables Falling Short Of Expectations? | What’s The Big Deal? | Full Episode,https://www.youtube.com/watch?v=qkNz5_Lh3mA,10,eye ball technique check form,1,1,0.36,NA
26,Video1,Are Smart Wearables Falling Short Of Expectations? | What’s The Big Deal? | Full Episode,https://www.youtube.com/watch?v=qkNz5_Lh3mA,10,ball,1,1,0.36,NA
27,Video1,Are Smart Wearables Falling Short Of Expectations? | What’s The Big Deal? | Full Episode,https://www.youtube.com/watch?v=qkNz5_Lh3mA,10,ball technique,1,1,0.36,NA
28,Video1,Are Smart Wearables Falling Short Of Expectations? | What’s The Big Deal? | Full Episode,https://www.youtube.com/watch?v=qkNz5_Lh3mA,10,ball technique check,1,1,0.36,NA
29,Video1,Are Smart Wearables Falling Short Of Expectations? | What’s The Big Deal? | Full Episode,https://www.youtube.com/watch?v=qkNz5_Lh3mA,10,ball technique check form,1,1,0.36,NA
30,Video2,10 best wearable technology 2022,https://www.youtube.com/watch?v=DQ3_bdwltq0,6,like,1,1,0.0,NA
31,Video2,10 best wearable technology 2022,https://www.youtube.com/watch?v=DQ3_bdwltq0,6,like wateva,1,1,0.0,NA
32,Video2,10 best wearable technology 2022,https://www.youtube.com/watch?v=DQ3_bdwltq0,6,like wateva wearable,1,1,0.0,NA
33,Video2,10 best wearable technology 2022,https://www.youtube.com/watch?v=DQ3_bdwltq0,6,like wateva wearable would,1,1,0.0,NA
34,Video2,10 best wearable technology 2022,https://www.youtube.com/watch?v=DQ3_bdwltq0,6,like wateva wearable would make,1,1,0.0,NA
35,Video2,10 best wearable technology 2022,https://www.youtube.com/watch?v=DQ3_bdwltq0,6,wateva,1,1,0.0,NA
36,Video2,10 best wearable technology 2022,https://www.youtube.com/watch?v=DQ3_bdwltq0,6,wateva wearable,1,1,0.0,NA
37,Video2,10 best wearable technology 2022,https://www.youtube.com/watch?v=DQ3_bdwltq0,6,wateva wearable would,1,1,0.0,NA
38,Video2,10 best wearable technology 2022,https://www.youtube.com/watch?v=DQ3_bdwltq0,6,wateva wearable would make,1,1,0.0,NA
39,Video2,10 best wearable technology 2022,https://www.youtube.com/watch?v=DQ3_bdwltq0,6,wateva wearable would make meditation,1,1,0.0,NA
40,Video2,10 best wearable technology 2022,https://www.youtube.com/watch?v=DQ3_bdwltq0,6,wearable,1,1,0.0,NA
41,Video2,10 best wearable technology 2022,https://www.youtube.com/watch?v=DQ3_bdwltq0,6,wearable would,1,1,0.0,NA
42,Video2,10 best wearable technology 2022,https://www.youtube.com/watch?v=DQ3_bdwltq0,6,wearable would make,1,1,0.0,NA
43,Video2,10 best wearable technology 2022,https://www.youtube.com/watch?v=DQ3_bdwltq0,6,wearable would make meditation,1,1,0.0,NA
44,Video2,10 best wearable technology 2022,https://www.youtube.com/watch?v=DQ3_bdwltq0,6,wearable would make meditation traveling,1,1,0.0,NA
45,Video2,10 best wearable technology 2022,https://www.youtube.com/watch?v=DQ3_bdwltq0,6,would,1,1,0.0,NA
46,Video2,10 best wearable technology 2022,https://www.youtube.com/watch?v=DQ3_bdwltq0,6,would make,1,1,0.0,NA
47,Video2,10 best wearable technology 2022,https://www.youtube.com/watch?v=DQ3_bdwltq0,6,would make meditation,1,1,0.0,NA
48,Video2,10 best wearable technology 2022,https://www.youtube.com/watch?v=DQ3_bdwltq0,6,would make meditation traveling,1,1,0.0,NA
49,Video2,10 best wearable technology 2022,https://www.youtube.com/watch?v=DQ3_bdwltq0,6,would make meditation traveling easier,1,1,0.0,NA
50,Video2,10 best wearable technology 2022,https://www.youtube.com/watch?v=DQ3_bdwltq0,6,make,1,1,0.0,NA
51,Video2,10 best wearable technology 2022,https://www.youtube.com/watch?v=DQ3_bdwltq0,6,make meditation,1,1,0.0,NA
52,Video2,10 best wearable technology 2022,https://www.youtube.com/watch?v=DQ3_bdwltq0,6,make meditation traveling,1,1,0.0,NA
53,Video2,10 best wearable technology 2022,https://www.youtube.com/watch?v=DQ3_bdwltq0,6,make meditation traveling easier,1,1,0.0,NA
54,Video2,10 best wearable technology 2022,https://www.youtube.com/watch?v=DQ3_bdwltq0,6,make meditation traveling easier imagine,1,0,NA,NA
55,Video2,10 best wearable technology 2022,https://www.youtube.com/watch?v=DQ3_bdwltq0,6,meditation,1,1,0.0,NA
56,Video2,10 best wearable technology 2022,https://www.youtube.com/watch?v=DQ3_bdwltq0,6,meditation traveling,1,1,0.0,NA
57,Video2,10 best wearable technology 2022,https://www.youtube.com/watch?v=DQ3_bdwltq0,6,meditation traveling easier,1,1,0.0,NA
58,Video2,10 best wearable technology 2022,https://www.youtube.com/watch?v=DQ3_bdwltq0,6,meditation traveling easier imagine,1,0,NA,NA
59,Video2,10 best wearable technology 2022,https://www.youtube.com/watch?v=DQ3_bdwltq0,6,meditation traveling easier imagine giving,1,0,NA,NA
60,Video3,5 Tips for Beginners in DIY Wearables,https://www.youtube.com/watch?v=uOepNMAYLyI,15,know,4,2,0.35,0.49
61,Video3,5 Tips for Beginners in DIY Wearables,https://www.youtube.com/watch?v=uOepNMAYLyI,15,wearable,4,3,0.37,0.35
62,Video3,5 Tips for Beginners in DIY Wearables,https://www.youtube.com/watch?v=uOepNMAYLyI,15,learning,4,3,0.39,0.36
63,Video3,5 Tips for Beginners in DIY Wearables,https://www.youtube.com/watch?v=uOepNMAYLyI,15,hi,3,3,0.12,0.3
64,Video3,5 Tips for Beginners in DIY Wearables,https://www.youtube.com/watch?v=uOepNMAYLyI,15,good,3,2,0.58,0.16
65,Video3,5 Tips for Beginners in DIY Wearables,https://www.youtube.com/watch?v=uOepNMAYLyI,15,becky,3,2,0.24,0.48
66,Video3,5 Tips for Beginners in DIY Wearables,https://www.youtube.com/watch?v=uOepNMAYLyI,15,learning system,3,2,0.35,0.49
67,Video3,5 Tips for Beginners in DIY Wearables,https://www.youtube.com/watch?v=uOepNMAYLyI,15,system,3,2,0.35,0.49
68,Video3,5 Tips for Beginners in DIY Wearables,https://www.youtube.com/watch?v=uOepNMAYLyI,15,make,3,3,0.47,0.4
69,Video3,5 Tips for Beginners in DIY Wearables,https://www.youtube.com/watch?v=uOepNMAYLyI,15,get,2,2,0.28,0.26
