,Video ID,Title,Link,No. of comments,Top word,Top Freq,Top comments,TextBlob (mean),TextBlob (stdev)
0,Video2,NuGen - Come Get Me (Official Music Video) Debut Single,https://www.youtube.com/watch?v=mJaAuS_j7o0,997,ni,287,195,0.13,0.26
1,Video2,NuGen - Come Get Me (Official Music Video) Debut Single,https://www.youtube.com/watch?v=mJaAuS_j7o0,997,tu,222,160,0.11,0.27
2,Video2,NuGen - Come Get Me (Official Music Video) Debut Single,https://www.youtube.com/watch?v=mJaAuS_j7o0,997,yg,140,93,0.14,0.26
3,Video2,NuGen - Come Get Me (Official Music Video) Debut Single,https://www.youtube.com/watch?v=mJaAuS_j7o0,997,tak,129,99,0.12,0.28
4,Video2,NuGen - Come Get Me (Official Music Video) Debut Single,https://www.youtube.com/watch?v=mJaAuS_j7o0,997,dance,123,97,0.15,0.35
5,Video2,NuGen - Come Get Me (Official Music Video) Debut Single,https://www.youtube.com/watch?v=mJaAuS_j7o0,997,nugen,121,107,0.42,0.45
6,Video2,NuGen - Come Get Me (Official Music Video) Debut Single,https://www.youtube.com/watch?v=mJaAuS_j7o0,997,nak,116,81,0.11,0.27
7,Video2,NuGen - Come Get Me (Official Music Video) Debut Single,https://www.youtube.com/watch?v=mJaAuS_j7o0,997,aku,114,91,0.15,0.28
8,Video2,NuGen - Come Get Me (Official Music Video) Debut Single,https://www.youtube.com/watch?v=mJaAuS_j7o0,997,je,112,101,0.12,0.3
9,Video2,NuGen - Come Get Me (Official Music Video) Debut Single,https://www.youtube.com/watch?v=mJaAuS_j7o0,997,la,110,87,0.09,0.24
10,Video2,NuGen - Come Get Me (Official Music Video) Debut Single,https://www.youtube.com/watch?v=mJaAuS_j7o0,997,debut,107,74,0.15,0.29
11,Video2,NuGen - Come Get Me (Official Music Video) Debut Single,https://www.youtube.com/watch?v=mJaAuS_j7o0,997,mv,106,73,0.2,0.25
12,Video2,NuGen - Come Get Me (Official Music Video) Debut Single,https://www.youtube.com/watch?v=mJaAuS_j7o0,997,lagu,101,87,0.25,0.42
13,Video2,NuGen - Come Get Me (Official Music Video) Debut Single,https://www.youtube.com/watch?v=mJaAuS_j7o0,997,lagi,98,80,0.19,0.31
14,Video2,NuGen - Come Get Me (Official Music Video) Debut Single,https://www.youtube.com/watch?v=mJaAuS_j7o0,997,kalau,96,71,0.14,0.28
15,Video2,NuGen - Come Get Me (Official Music Video) Debut Single,https://www.youtube.com/watch?v=mJaAuS_j7o0,997,ada,94,66,0.14,0.26
16,Video2,NuGen - Come Get Me (Official Music Video) Debut Single,https://www.youtube.com/watch?v=mJaAuS_j7o0,997,kena,86,63,0.21,0.28
17,Video2,NuGen - Come Get Me (Official Music Video) Debut Single,https://www.youtube.com/watch?v=mJaAuS_j7o0,997,ke,84,66,-0.0,0.2
18,Video2,NuGen - Come Get Me (Official Music Video) Debut Single,https://www.youtube.com/watch?v=mJaAuS_j7o0,997,tapi,84,65,0.17,0.31
19,Video2,NuGen - Come Get Me (Official Music Video) Debut Single,https://www.youtube.com/watch?v=mJaAuS_j7o0,997,dia,84,58,0.17,0.25
20,Video2,NuGen - Come Get Me (Official Music Video) Debut Single,https://www.youtube.com/watch?v=mJaAuS_j7o0,997,group,81,61,0.13,0.32
21,Video2,NuGen - Come Get Me (Official Music Video) Debut Single,https://www.youtube.com/watch?v=mJaAuS_j7o0,997,boleh,80,64,0.21,0.35
22,Video2,NuGen - Come Get Me (Official Music Video) Debut Single,https://www.youtube.com/watch?v=mJaAuS_j7o0,997,dah,79,64,0.15,0.26
23,Video2,NuGen - Come Get Me (Official Music Video) Debut Single,https://www.youtube.com/watch?v=mJaAuS_j7o0,997,pun,76,62,0.1,0.27
24,Video2,NuGen - Come Get Me (Official Music Video) Debut Single,https://www.youtube.com/watch?v=mJaAuS_j7o0,997,buat,72,55,0.08,0.29
25,Video2,NuGen - Come Get Me (Official Music Video) Debut Single,https://www.youtube.com/watch?v=mJaAuS_j7o0,997,best,71,66,0.87,0.24
26,Video2,NuGen - Come Get Me (Official Music Video) Debut Single,https://www.youtube.com/watch?v=mJaAuS_j7o0,997,nk,69,53,0.17,0.29
27,Video2,NuGen - Come Get Me (Official Music Video) Debut Single,https://www.youtube.com/watch?v=mJaAuS_j7o0,997,practice,69,50,0.21,0.33
28,Video2,NuGen - Come Get Me (Official Music Video) Debut Single,https://www.youtube.com/watch?v=mJaAuS_j7o0,997,mcm,67,59,0.12,0.27
29,Video2,NuGen - Come Get Me (Official Music Video) Debut Single,https://www.youtube.com/watch?v=mJaAuS_j7o0,997,guy,67,50,0.26,0.27
30,Video3,Review: MasterCheck Pro - Nugen Audio,https://www.youtube.com/watch?v=ousTKcJbPek,5,informative,2,2,0.5,0.71
31,Video3,Review: MasterCheck Pro - Nugen Audio,https://www.youtube.com/watch?v=ousTKcJbPek,5,review,2,2,0.62,0.53
32,Video3,Review: MasterCheck Pro - Nugen Audio,https://www.youtube.com/watch?v=ousTKcJbPek,5,dude,1,1,0.0,NA
33,Video3,Review: MasterCheck Pro - Nugen Audio,https://www.youtube.com/watch?v=ousTKcJbPek,5,dude informative,1,0,NA,NA
34,Video3,Review: MasterCheck Pro - Nugen Audio,https://www.youtube.com/watch?v=ousTKcJbPek,5,dude informative detailed,1,0,NA,NA
35,Video3,Review: MasterCheck Pro - Nugen Audio,https://www.youtube.com/watch?v=ousTKcJbPek,5,dude informative detailed information,1,0,NA,NA
36,Video3,Review: MasterCheck Pro - Nugen Audio,https://www.youtube.com/watch?v=ousTKcJbPek,5,dude informative detailed information looking,1,0,NA,NA
37,Video3,Review: MasterCheck Pro - Nugen Audio,https://www.youtube.com/watch?v=ousTKcJbPek,5,informative detailed,1,0,NA,NA
38,Video3,Review: MasterCheck Pro - Nugen Audio,https://www.youtube.com/watch?v=ousTKcJbPek,5,informative detailed information,1,0,NA,NA
39,Video3,Review: MasterCheck Pro - Nugen Audio,https://www.youtube.com/watch?v=ousTKcJbPek,5,informative detailed information looking,1,0,NA,NA
40,Video3,Review: MasterCheck Pro - Nugen Audio,https://www.youtube.com/watch?v=ousTKcJbPek,5,informative detailed information looking metering,1,0,NA,NA
41,Video3,Review: MasterCheck Pro - Nugen Audio,https://www.youtube.com/watch?v=ousTKcJbPek,5,detailed,1,1,0.23,NA
42,Video3,Review: MasterCheck Pro - Nugen Audio,https://www.youtube.com/watch?v=ousTKcJbPek,5,detailed information,1,1,0.17,NA
43,Video3,Review: MasterCheck Pro - Nugen Audio,https://www.youtube.com/watch?v=ousTKcJbPek,5,detailed information looking,1,1,0.17,NA
44,Video3,Review: MasterCheck Pro - Nugen Audio,https://www.youtube.com/watch?v=ousTKcJbPek,5,detailed information looking metering,1,1,0.17,NA
45,Video3,Review: MasterCheck Pro - Nugen Audio,https://www.youtube.com/watch?v=ousTKcJbPek,5,detailed information looking metering plugin,1,1,0.17,NA
46,Video3,Review: MasterCheck Pro - Nugen Audio,https://www.youtube.com/watch?v=ousTKcJbPek,5,information,1,1,0.23,NA
47,Video3,Review: MasterCheck Pro - Nugen Audio,https://www.youtube.com/watch?v=ousTKcJbPek,5,information looking,1,1,0.23,NA
48,Video3,Review: MasterCheck Pro - Nugen Audio,https://www.youtube.com/watch?v=ousTKcJbPek,5,information looking metering,1,1,0.23,NA
49,Video3,Review: MasterCheck Pro - Nugen Audio,https://www.youtube.com/watch?v=ousTKcJbPek,5,information looking metering plugin,1,1,0.23,NA
50,Video3,Review: MasterCheck Pro - Nugen Audio,https://www.youtube.com/watch?v=ousTKcJbPek,5,information looking metering plugin look,1,1,0.23,NA
51,Video3,Review: MasterCheck Pro - Nugen Audio,https://www.youtube.com/watch?v=ousTKcJbPek,5,looking,1,1,0.23,NA
52,Video3,Review: MasterCheck Pro - Nugen Audio,https://www.youtube.com/watch?v=ousTKcJbPek,5,looking metering,1,1,0.23,NA
53,Video3,Review: MasterCheck Pro - Nugen Audio,https://www.youtube.com/watch?v=ousTKcJbPek,5,looking metering plugin,1,1,0.23,NA
54,Video3,Review: MasterCheck Pro - Nugen Audio,https://www.youtube.com/watch?v=ousTKcJbPek,5,looking metering plugin look,1,1,0.23,NA
55,Video3,Review: MasterCheck Pro - Nugen Audio,https://www.youtube.com/watch?v=ousTKcJbPek,5,looking metering plugin look better,1,1,0.13,NA
56,Video3,Review: MasterCheck Pro - Nugen Audio,https://www.youtube.com/watch?v=ousTKcJbPek,5,metering,1,1,0.23,NA
57,Video3,Review: MasterCheck Pro - Nugen Audio,https://www.youtube.com/watch?v=ousTKcJbPek,5,metering plugin,1,1,0.23,NA
58,Video3,Review: MasterCheck Pro - Nugen Audio,https://www.youtube.com/watch?v=ousTKcJbPek,5,metering plugin look,1,1,0.23,NA
59,Video3,Review: MasterCheck Pro - Nugen Audio,https://www.youtube.com/watch?v=ousTKcJbPek,5,metering plugin look better,1,1,0.13,NA
60,Video4,Nogen | Pramod Kharel/Ruksana Limbu | Official Music Video 2022,https://www.youtube.com/watch?v=QMBCNKlNjs4,12251,song,2574,2450,0.44,0.28
61,Video4,Nogen | Pramod Kharel/Ruksana Limbu | Official Music Video 2022,https://www.youtube.com/watch?v=QMBCNKlNjs4,12251,wow,2060,1863,0.23,0.16
62,Video4,Nogen | Pramod Kharel/Ruksana Limbu | Official Music Video 2022,https://www.youtube.com/watch?v=QMBCNKlNjs4,12251,nice,1319,1295,0.53,0.13
63,Video4,Nogen | Pramod Kharel/Ruksana Limbu | Official Music Video 2022,https://www.youtube.com/watch?v=QMBCNKlNjs4,12251,ruksana,1260,1203,0.31,0.34
64,Video4,Nogen | Pramod Kharel/Ruksana Limbu | Official Music Video 2022,https://www.youtube.com/watch?v=QMBCNKlNjs4,12251,pramod,1256,1202,0.3,0.34
65,Video4,Nogen | Pramod Kharel/Ruksana Limbu | Official Music Video 2022,https://www.youtube.com/watch?v=QMBCNKlNjs4,12251,sir,962,912,0.29,0.33
66,Video4,Nogen | Pramod Kharel/Ruksana Limbu | Official Music Video 2022,https://www.youtube.com/watch?v=QMBCNKlNjs4,12251,congratulation,836,829,0.22,0.3
67,Video4,Nogen | Pramod Kharel/Ruksana Limbu | Official Music Video 2022,https://www.youtube.com/watch?v=QMBCNKlNjs4,12251,best,830,797,0.8,0.21
68,Video4,Nogen | Pramod Kharel/Ruksana Limbu | Official Music Video 2022,https://www.youtube.com/watch?v=QMBCNKlNjs4,12251,nice song,813,810,0.15,0.26
69,Video4,Nogen | Pramod Kharel/Ruksana Limbu | Official Music Video 2022,https://www.youtube.com/watch?v=QMBCNKlNjs4,12251,ko,654,527,0.14,0.25
70,Video4,Nogen | Pramod Kharel/Ruksana Limbu | Official Music Video 2022,https://www.youtube.com/watch?v=QMBCNKlNjs4,12251,ramro,647,608,0.11,0.24
71,Video4,Nogen | Pramod Kharel/Ruksana Limbu | Official Music Video 2022,https://www.youtube.com/watch?v=QMBCNKlNjs4,12251,nanu,606,574,0.34,0.34
72,Video4,Nogen | Pramod Kharel/Ruksana Limbu | Official Music Video 2022,https://www.youtube.com/watch?v=QMBCNKlNjs4,12251,love,586,566,0.49,0.11
73,Video4,Nogen | Pramod Kharel/Ruksana Limbu | Official Music Video 2022,https://www.youtube.com/watch?v=QMBCNKlNjs4,12251,pramod sir,545,531,0.3,0.34
74,Video4,Nogen | Pramod Kharel/Ruksana Limbu | Official Music Video 2022,https://www.youtube.com/watch?v=QMBCNKlNjs4,12251,xa,516,469,0.13,0.25
75,Video4,Nogen | Pramod Kharel/Ruksana Limbu | Official Music Video 2022,https://www.youtube.com/watch?v=QMBCNKlNjs4,12251,voice,501,463,0.35,0.27
76,Video4,Nogen | Pramod Kharel/Ruksana Limbu | Official Music Video 2022,https://www.youtube.com/watch?v=QMBCNKlNjs4,12251,geet,457,416,0.12,0.25
77,Video4,Nogen | Pramod Kharel/Ruksana Limbu | Official Music Video 2022,https://www.youtube.com/watch?v=QMBCNKlNjs4,12251,nogen,451,433,0.1,0.27
78,Video4,Nogen | Pramod Kharel/Ruksana Limbu | Official Music Video 2022,https://www.youtube.com/watch?v=QMBCNKlNjs4,12251,beautiful,420,405,0.68,0.18
79,Video4,Nogen | Pramod Kharel/Ruksana Limbu | Official Music Video 2022,https://www.youtube.com/watch?v=QMBCNKlNjs4,12251,lai,401,365,0.2,0.31
